theta,Stator,Rotor,Intersect
225.626740947075,19,41,779
226.629526462396,19,41,779
227.632311977716,19,41,779
228.635097493036,19,41,779
229.637883008357,19,41,779
230.640668523677,19,41,779
231.643454038997,19,41,779
232.646239554318,19,41,779
233.649025069638,19,41,779
234.651810584958,19,41,779
235.654596100279,19,41,779
236.657381615599,19,41,779
237.660167130919,19,41,779
238.66295264624,19,41,779
239.66573816156,19,41,779
240.66852367688,23,41,943
241.671309192201,23,41,943
242.674094707521,23,41,943
243.676880222841,23,41,943
244.679665738162,23,41,943
245.682451253482,23,41,943
246.685236768802,23,41,943
247.688022284123,23,41,943
248.690807799443,23,41,943
249.693593314763,23,41,943
250.696378830084,29,41,1189
251.699164345404,29,41,1189
252.701949860724,29,41,1189
253.704735376045,29,41,1189
254.707520891365,29,41,1189
255.710306406685,29,41,1189
256.713091922006,29,41,1189
257.715877437326,29,41,1189
258.718662952646,29,41,1189
259.721448467967,29,41,1189
260.724233983287,29,41,1189
261.727019498607,29,41,1189
262.729805013928,29,41,1189
263.732590529248,29,41,1189
264.735376044568,29,41,1189
265.738161559889,29,41,1189
266.740947075209,29,41,1189
267.743732590529,29,41,1189
268.74651810585,29,41,1189
269.74930362117,29,41,1189
270.75208913649,29,41,1189
271.754874651811,29,41,1189
272.757660167131,29,41,1189
273.760445682451,29,41,1189
274.763231197772,29,41,1189
275.766016713092,29,41,1189
276.768802228412,29,41,1189
277.771587743733,29,41,1189
278.774373259053,29,41,1189
279.777158774373,29,41,1189
280.779944289694,31,41,1271
281.782729805014,31,41,1271
282.785515320334,31,41,1271
283.788300835655,31,41,1271
284.791086350975,31,41,1271
285.793871866295,31,41,1271
286.796657381616,31,41,1271
287.799442896936,31,41,1271
288.802228412256,31,41,1271
289.805013927577,31,41,1271
290.807799442897,31,41,1271
291.810584958217,31,41,1271
292.813370473538,31,41,1271
293.816155988858,31,41,1271
294.818941504178,31,41,1271
295.821727019499,31,41,1271
296.824512534819,31,41,1271
297.827298050139,31,41,1271
298.83008356546,31,41,1271
299.83286908078,31,41,1271
300.8356545961,31,41,1271
301.838440111421,31,41,1271
302.841225626741,31,41,1271
303.844011142061,31,41,1271
304.846796657382,31,41,1271
305.849582172702,31,41,1271
306.852367688022,31,41,1271
307.855153203343,31,41,1271
308.857938718663,31,41,1271
309.860724233983,31,41,1271
310.863509749304,31,41,1271
311.866295264624,31,41,1271
312.869080779944,31,41,1271
313.871866295265,31,41,1271
314.874651810585,31,41,1271
315.877437325905,31,41,1271
316.880222841226,31,41,1271
317.883008356546,31,41,1271
318.885793871866,31,41,1271
319.888579387187,31,41,1271
320.891364902507,31,41,1271
321.894150417827,31,41,1271
322.896935933148,31,41,1271
323.899721448468,31,41,1271
324.902506963788,31,41,1271
325.905292479109,31,41,1271
326.908077994429,31,41,1271
327.910863509749,31,41,1271
328.91364902507,31,41,1271
329.91643454039,31,41,1271
330.91922005571,37,41,1517
331.922005571031,37,41,1517
332.924791086351,37,41,1517
333.927576601671,37,41,1517
334.930362116992,37,41,1517
335.933147632312,37,41,1517
336.935933147632,37,41,1517
337.938718662953,37,41,1517
338.941504178273,37,41,1517
339.944289693593,37,43,1591
340.947075208914,37,43,1591
341.949860724234,37,43,1591
342.952646239554,37,43,1591
343.955431754875,37,43,1591
344.958217270195,37,43,1591
345.961002785515,37,43,1591
346.963788300836,37,43,1591
347.966573816156,37,43,1591
348.969359331476,37,43,1591
349.972144846797,37,43,1591
350.974930362117,37,43,1591
351.977715877437,37,43,1591
352.980501392758,37,43,1591
353.983286908078,37,43,1591
354.986072423398,37,43,1591
355.988857938719,37,43,1591
356.991643454039,37,43,1591
357.994428969359,37,43,1591
358.99721448468,37,43,1591
360,37,43,1591
