id iq logcond
-1.3000000 1.2126829 1.1286655
-1.3000000 1.2546341 1.1656922
-1.3000000 1.2965854 1.2045112
-1.3000000 1.3385366 1.2453687
-1.3000000 1.3804878 1.2885690
-1.3000000 1.4224390 1.3344942
-1.3000000 1.4643902 1.3836312
-1.3000000 1.5063415 1.4366132
-1.3000000 1.5482927 1.4942835
-1.3000000 1.5902439 1.5577991
-1.3000000 1.6321951 1.6288076
-1.3000000 1.6741463 1.7097693
-1.3000000 1.7160976 1.8045978
-1.3000000 1.7580488 1.9200892
-1.3000000 1.8000000 2.0697042
-1.2500000 0.0800000 0.5513258
-1.2500000 0.1219512 0.5554528
-1.2500000 0.1639024 0.5612355
-1.2500000 0.2058537 0.5686172
-1.2500000 0.2478049 0.5775294
-1.2500000 0.2897561 0.5878960
-1.2500000 0.3317073 0.5996358
-1.2500000 0.3736585 0.6126660
-1.2500000 0.4156098 0.6269051
-1.2500000 0.4575610 0.6422748
-1.2500000 0.4995122 0.6587023
-1.2500000 0.5414634 0.6761213
-1.2500000 0.5834146 0.6944731
-1.2500000 0.6253659 0.7137071
-1.2500000 0.6673171 0.7337811
-1.2500000 0.7092683 0.7546612
-1.2500000 0.7512195 0.7763224
-1.2500000 0.7931707 0.7987478
-1.2500000 0.8351220 0.8219286
-1.2500000 0.8770732 0.8458647
-1.2500000 0.9190244 0.8705639
-1.2500000 0.9609756 0.8960423
-1.2500000 1.0029268 0.9223250
-1.2500000 1.0448780 0.9494457
-1.2500000 1.0868293 0.9774483
-1.2500000 1.1287805 1.0063870
-1.2500000 1.1707317 1.0363281
-1.2500000 1.2126829 1.0673517
-1.2500000 1.2546341 1.0995537
-1.2500000 1.2965854 1.1330490
-1.2500000 1.3385366 1.1679752
-1.2500000 1.3804878 1.2044983
-1.2500000 1.4224390 1.2428191
-1.2500000 1.4643902 1.2831832
-1.2500000 1.5063415 1.3258944
-1.2500000 1.5482927 1.3713332
-1.2500000 1.5902439 1.4199846
-1.2500000 1.6321951 1.4724787
-1.2500000 1.6741463 1.5296544
-1.2500000 1.7160976 1.5926624
-1.2500000 1.7580488 1.6631400
-1.2500000 1.8000000 1.7435304
-1.2000000 0.0800000 0.5589898
-1.2000000 0.1219512 0.5625258
-1.2000000 0.1639024 0.5674903
-1.2000000 0.2058537 0.5738438
-1.2000000 0.2478049 0.5815382
-1.2000000 0.2897561 0.5905189
-1.2000000 0.3317073 0.6007271
-1.2000000 0.3736585 0.6121014
-1.2000000 0.4156098 0.6245800
-1.2000000 0.4575610 0.6381025
-1.2000000 0.4995122 0.6526110
-1.2000000 0.5414634 0.6680514
-1.2000000 0.5834146 0.6843744
-1.2000000 0.6253659 0.7015357
-1.2000000 0.6673171 0.7194970
