# t id iq if torque pcu uutil
1.192031885 1.877210071 0.222476331 0.619600306 0.275147502 0.617814683 0.998755605
1.220413596 1.920715072 0.217059101 0.621257456 0.273676541 0.644117066 0.999377036
1.248795308 1.964220074 0.211641870 0.622914606 0.271944586 0.671035158 0.999998467
1.270019248 1.952118281 0.211477063 0.628643544 0.270786979 0.664301258 0.907619543
1.291243188 1.940016488 0.211312256 0.634372481 0.269630845 0.657622108 0.909767894
1.312467129 1.927914695 0.211147449 0.640101418 0.268476186 0.650997710 0.911916246
1.333691069 1.915812902 0.210982641 0.645830355 0.267323002 0.644428062 0.914064597
1.354915009 1.903711109 0.210817834 0.651559293 0.266171291 0.637913165 0.916212949
1.376138949 1.891609316 0.210653027 0.657288230 0.265021055 0.631453018 0.918361300
1.397362889 1.879507522 0.210488220 0.663017167 0.263872293 0.625047622 0.920509652
1.418586830 1.867405729 0.210323412 0.668746105 0.262725005 0.618696978 0.922658003
1.439810770 1.855303936 0.210158605 0.674475042 0.261579191 0.612401083 0.924806355
1.461034710 1.843202143 0.209993798 0.680203979 0.260434852 0.606159940 0.926954706
1.482258650 1.831100350 0.209828990 0.685932916 0.259291987 0.599973547 0.929103058
1.503482591 1.818998557 0.209664183 0.691661854 0.258150596 0.593841906 0.931251409
1.524706531 1.806896764 0.209499376 0.697390791 0.257010679 0.587765014 0.933399761
1.545930471 1.794794971 0.209334569 0.703119728 0.255872236 0.581742874 0.935548112
1.567154411 1.782693178 0.209169761 0.708848666 0.254735268 0.575775485 0.937696463
1.588378352 1.770591385 0.209004954 0.714577603 0.253599774 0.569862846 0.939844815
1.609602292 1.758489592 0.208840147 0.720306540 0.252465754 0.564004958 0.941993166
1.630826232 1.746387799 0.208675340 0.726035477 0.251333208 0.558201820 0.944141518
1.652050172 1.734286005 0.208510532 0.731764415 0.250202137 0.552453434 0.946289869
1.673274112 1.722184212 0.208345725 0.737493352 0.249072539 0.546759798 0.948438221
1.694498053 1.710082419 0.208180918 0.743222289 0.247944416 0.541120913 0.950586572
1.715721993 1.697980626 0.208016110 0.748951227 0.246817767 0.535536778 0.952734924
1.736945933 1.685878833 0.207851303 0.754680164 0.245692593 0.530007395 0.954883275
1.758169873 1.673777040 0.207686496 0.760409101 0.244568892 0.524532762 0.957031627
1.779393814 1.661675247 0.207521689 0.766138038 0.243446666 0.519112880 0.959179978
1.800617754 1.649573454 0.207356881 0.771866976 0.242325914 0.513747748 0.961328330
1.821841694 1.637471661 0.207192074 0.777595913 0.241206636 0.508437368 0.963476681
1.843065634 1.625369868 0.207027267 0.783324850 0.240088833 0.503181738 0.965625033
1.864289575 1.613268075 0.206862460 0.789053788 0.238972504 0.497980859 0.967773384
1.885513515 1.601166282 0.206697652 0.794782725 0.237857649 0.492834730 0.969921736
1.906737455 1.589064488 0.206532845 0.800511662 0.236744268 0.487743353 0.972070087
1.927961395 1.576962695 0.206368038 0.806240599 0.235632361 0.482706726 0.974218439
1.949185335 1.564860902 0.206203230 0.811969537 0.234521929 0.477724850 0.976366790
1.970409276 1.552759109 0.206038423 0.817698474 0.233412970 0.472797725 0.978515142
1.991633216 1.540657316 0.205873616 0.823427411 0.232305486 0.467925350 0.980663493
2.012857156 1.528555523 0.205708809 0.829156349 0.231199477 0.463107726 0.982811845
2.034081096 1.516453730 0.205544001 0.834885286 0.230094941 0.458344853 0.984960196
2.055305037 1.504351937 0.205379194 0.840614223 0.228991880 0.453636731 0.987108548
2.076528977 1.492250144 0.205214387 0.846343160 0.227890292 0.448983359 0.989256899
2.097752917 1.480148351 0.205049580 0.852072098 0.226790180 0.444384738 0.991405251
2.118976857 1.468046558 0.204884772 0.857801035 0.225691541 0.439840868 0.993553602
2.140200798 1.455944765 0.204719965 0.863529972 0.224594376 0.435351749 0.995701953
2.161424738 1.443842971 0.204555158 0.869258910 0.223498686 0.430917380 0.997850305
2.182648678 1.431741178 0.204390351 0.874987847 0.222404470 0.426537763 0.999998656
2.195517879 1.407156152 0.228154206 0.880101759 0.245653852 0.418092337 0.917536985
2.208387080 1.382571125 0.251918062 0.885215672 0.268359759 0.410027314 0.919454702
2.221256282 1.357986098 0.275681918 0.890329585 0.290522190 0.402342694 0.921372419
2.234125483 1.333401071 0.299445773 0.895443497 0.312141147 0.395038477 0.923290137
2.246994684 1.308816044 0.323209629 0.900557410 0.333216629 0.388114662 0.925207854
