id iq logcond
-0.9714286 0.7931707 0.7207214
-0.9714286 0.8351220 0.7369072
-0.9714286 0.8770732 0.7535750
-0.9714286 0.9190244 0.7705333
-0.9714286 0.9609756 0.7876352
-0.9714286 1.0029268 0.8047702
-0.9714286 1.0448780 0.8218567
-0.9714286 1.0868293 0.8388353
-0.9714286 1.1287805 0.8556629
-0.9714286 1.1707317 0.8723095
-0.9714286 1.2126829 0.8887541
-0.9714286 1.2546341 0.9049831
-0.9714286 1.2965854 0.9209878
-0.9714286 1.3385366 0.9367639
-0.9714286 1.3804878 0.9523095
-0.9714286 1.4224390 0.9676252
-0.9714286 1.4643902 0.9827131
-0.9714286 1.5063415 0.9975762
-0.9714286 1.5482927 1.0122187
-0.9714286 1.5902439 1.0266450
-0.9714286 1.6321951 1.0408600
-0.9714286 1.6741463 1.0548687
-0.9714286 1.7160976 1.0686766
-0.9714286 1.7580488 1.0822886
-0.9714286 1.8000000 1.0957102
-0.9166667 0.0800000 0.5891793
-0.9166667 0.1219512 0.5804907
-0.9166667 0.1639024 0.5726499
-0.9166667 0.2058537 0.5658939
-0.9166667 0.2478049 0.5604073
-0.9166667 0.2897561 0.5563400
-0.9166667 0.3317073 0.5538350
-0.9166667 0.3736585 0.5530599
-0.9166667 0.4156098 0.5542337
-0.9166667 0.4575610 0.5576344
-0.9166667 0.4995122 0.5635673
-0.9166667 0.5414634 0.5722684
-0.9166667 0.5834146 0.5837671
-0.9166667 0.6253659 0.5978047
-0.9166667 0.6673171 0.6138939
-0.9166667 0.7092683 0.6314711
-0.9166667 0.7512195 0.6500252
-0.9166667 0.7931707 0.6691525
-0.9166667 0.8351220 0.6885577
-0.9166667 0.8770732 0.7080332
-0.9166667 0.9190244 0.7274369
-0.9166667 0.9609756 0.7466728
-0.9166667 1.0029268 0.7656773
-0.9166667 1.0448780 0.7844096
-0.9166667 1.0868293 0.8028445
-0.9166667 1.1287805 0.8209680
-0.9166667 1.1707317 0.8387735
-0.9166667 1.2126829 0.8562601
-0.9166667 1.2546341 0.8734303
-0.9166667 1.2965854 0.8902894
-0.9166667 1.3385366 0.9068441
-0.9166667 1.3804878 0.9231024
-0.9166667 1.4224390 0.9390729
-0.9166667 1.4643902 0.9547644
-0.9166667 1.5063415 0.9701860
-0.9166667 1.5482927 0.9853466
-0.9166667 1.5902439 1.0002551
-0.9166667 1.6321951 1.0149200
-0.9166667 1.6741463 1.0293496
-0.9166667 1.7160976 1.0435521
-0.9166667 1.7580488 1.0575349
-0.9166667 1.8000000 1.0713056
-0.8619048 0.0800000 0.4994594
-0.8619048 0.1219512 0.4902534
-0.8619048 0.1639024 0.4824444
-0.8619048 0.2058537 0.4761647
-0.8619048 0.2478049 0.4714681
-0.8619048 0.2897561 0.4683970
-0.8619048 0.3317073 0.4670521
-0.8619048 0.3736585 0.4676697
-0.8619048 0.4156098 0.4707137
-0.8619048 0.4575610 0.4769349
-0.8619048 0.4995122 0.4871848
-0.8619048 0.5414634 0.5017701
-0.8619048 0.5834146 0.5199688
-0.8619048 0.6253659 0.5405165
-0.8619048 0.6673171 0.5623177
-0.8619048 0.7092683 0.5846514
-0.8619048 0.7512195 0.6070869
-0.8619048 0.7931707 0.6293733
-0.8619048 0.8351220 0.6513652
-0.8619048 0.8770732 0.6729797
-0.8619048 0.9190244 0.6941715
-0.8619048 0.9609756 0.7149189
-0.8619048 1.0029268 0.7352147
-0.8619048 1.0448780 0.7550611
-0.8619048 1.0868293 0.7744662
-0.8619048 1.1287805 0.7934417
-0.8619048 1.1707317 0.8120016
-0.8619048 1.2126829 0.8301608
-0.8619048 1.2546341 0.8479348
-0.8619048 1.2965854 0.8653393
-0.8619048 1.3385366 0.8823895
-0.8619048 1.3804878 0.8991004
-0.8619048 1.4224390 0.9154861
-0.8619048 1.4643902 0.9315604
-0.8619048 1.5063415 0.9473363
-0.8619048 1.5482927 0.9628260
-0.8619048 1.5902439 0.9780413
-0.8619048 1.6321951 0.9929931
-0.8619048 1.6741463 1.0076917
-0.8619048 1.7160976 1.0221471
-0.8619048 1.7580488 1.0363684
-0.8619048 1.8000000 1.0503642
-0.8071429 0.0800000 0.4057732
-0.8071429 0.1219512 0.3965202
-0.8071429 0.1639024 0.3893796
-0.8071429 0.2058537 0.3841674
-0.8071429 0.2478049 0.3806496
-0.8071429 0.2897561 0.3786576
-0.8071429 0.3317073 0.3781803
-0.8071429 0.3736585 0.3796043
-0.8071429 0.4156098 0.3848278
-0.8071429 0.4575610 0.3994505
-0.8071429 0.4995122 0.4231651
-0.8071429 0.5414634 0.4495726
-0.8071429 0.5834146 0.4763306
-0.8071429 0.6253659 0.5027901
-0.8071429 0.6673171 0.5287197
-0.8071429 0.7092683 0.5540247
-0.8071429 0.7512195 0.5786681
-0.8071429 0.7931707 0.6026425
-0.8071429 0.8351220 0.6259565
-0.8071429 0.8770732 0.6486281
-0.8071429 0.9190244 0.6706805
-0.8071429 0.9609756 0.6921397
-0.8071429 1.0029268 0.7130330
-0.8071429 1.0448780 0.7333875
-0.8071429 1.0868293 0.7532302
-0.8071429 1.1287805 0.7725870
-0.8071429 1.1707317 0.7914826
-0.8071429 1.2126829 0.8099405
-0.8071429 1.2546341 0.8279827
-0.8071429 1.2965854 0.8456300
-0.8071429 1.3385366 0.8629018
-0.8071429 1.3804878 0.8798163
-0.8071429 1.4224390 0.8963904
-0.8071429 1.4643902 0.9126400
-0.8071429 1.5063415 0.9285797
-0.8071429 1.5482927 0.9442234
-0.8071429 1.5902439 0.9595838
-0.8071429 1.6321951 0.9746729
-0.8071429 1.6741463 0.9895020
-0.8071429 1.7160976 1.0040816
-0.8071429 1.7580488 1.0184213
-0.8071429 1.8000000 1.0325304
-0.7523810 0.0800000 0.3021190
-0.7523810 0.1219512 0.2950533
-0.7523810 0.1639024 0.2912935
-0.7523810 0.2058537 0.2902079
-0.7523810 0.2478049 0.2915519
-0.7523810 0.2897561 0.2958571
-0.7523810 0.3317073 0.3054640
-0.7523810 0.3736585 0.3240154
-0.7523810 0.4156098 0.3494957
-0.7523810 0.4575610 0.3774214
-0.7523810 0.4995122 0.4057994
-0.7523810 0.5414634 0.4339131
-0.7523810 0.5834146 0.4614720
-0.7523810 0.6253659 0.4883497
-0.7523810 0.6673171 0.5144944
-0.7523810 0.7092683 0.5398931
-0.7523810 0.7512195 0.5645542
-0.7523810 0.7931707 0.5884981
-0.7523810 0.8351220 0.6117520
-0.7523810 0.8770732 0.6343466
-0.7523810 0.9190244 0.6563136
-0.7523810 0.9609756 0.6776851
-0.7523810 1.0029268 0.6984922
-0.7523810 1.0448780 0.7187651
-0.7523810 1.0868293 0.7385321
-0.7523810 1.1287805 0.7578201
-0.7523810 1.1707317 0.7766544
-0.7523810 1.2126829 0.7950585
-0.7523810 1.2546341 0.8130544
-0.7523810 1.2965854 0.8306626
-0.7523810 1.3385366 0.8479021
-0.7523810 1.3804878 0.8647906
-0.7523810 1.4224390 0.8813445
-0.7523810 1.4643902 0.8975793
-0.7523810 1.5063415 0.9135091
-0.7523810 1.5482927 0.9291473
-0.7523810 1.5902439 0.9445062
-0.7523810 1.6321951 0.9595974
-0.7523810 1.6741463 0.9744317
-0.7523810 1.7160976 0.9890192
-0.7523810 1.7580488 1.0033695
-0.7523810 1.8000000 1.0174913
-0.6976190 0.0800000 0.2012747
-0.6976190 0.1219512 0.2064892
-0.6976190 0.1639024 0.2190310
-0.6976190 0.2058537 0.2368103
