# t id iq if torque pcu uutil
0.512631936 0.172520122 0.343579973 0.648918896 0.112272201 0.074181150 0.966129585
0.534920281 0.177847084 0.338953015 0.653219718 0.112260060 0.074646517 0.967742393
0.557208626 0.183174045 0.334326057 0.657520539 0.112206972 0.075132254 0.969355201
0.579496971 0.188501007 0.329699100 0.661821361 0.112112937 0.075638362 0.970968009
0.601785316 0.193827969 0.325072142 0.666122182 0.111977955 0.076164840 0.972580817
0.624073661 0.199154931 0.320445184 0.670423004 0.111802025 0.076711689 0.974193625
0.646362006 0.204481893 0.315818227 0.674723825 0.111585148 0.077278908 0.975806433
0.668650351 0.209808854 0.311191269 0.679024647 0.111327324 0.077866498 0.977419241
0.690938696 0.215135816 0.306564311 0.683325469 0.111028553 0.078474459 0.979032049
0.713227042 0.220462778 0.301937353 0.687626290 0.110688834 0.079102790 0.980644858
0.735515387 0.225789740 0.297310396 0.691927112 0.110308168 0.079751492 0.982257666
0.757803732 0.231116702 0.292683438 0.696227933 0.109886555 0.080420564 0.983870474
0.780092077 0.236443664 0.288056480 0.700528755 0.109423995 0.081110007 0.985483282
0.802380422 0.241770625 0.283429523 0.704829576 0.108920488 0.081819821 0.987096090
0.824668767 0.247097587 0.278802565 0.709130398 0.108376033 0.082550005 0.988708898
0.846957112 0.252424549 0.274175607 0.713431220 0.107790631 0.083300559 0.990321706
0.869245457 0.257751511 0.269548650 0.717732041 0.107164282 0.084071484 0.991934514
0.891533802 0.263078473 0.264921692 0.722032863 0.106496985 0.084862780 0.993547322
0.913822147 0.268405434 0.260294734 0.726333684 0.105788741 0.085674447 0.995160130
0.936110492 0.273732396 0.255667776 0.730634506 0.105039550 0.086506484 0.996772938
0.958398837 0.279059358 0.251040819 0.734935327 0.104249412 0.087358891 0.998385747
0.980687182 0.284386320 0.246413861 0.739236149 0.103418327 0.088231669 0.999998555
1.020633857 0.279722834 0.246808404 0.747007418 0.103652866 0.089227890 0.874687105
1.060580531 0.275059348 0.247202946 0.754778686 0.103887625 0.090245614 0.877601331
1.100527206 0.270395862 0.247597489 0.762549955 0.104122605 0.091284842 0.880515556
1.140473881 0.265732376 0.247992031 0.770321223 0.104357805 0.092345573 0.883429782
1.180420555 0.261068890 0.248386574 0.778092492 0.104593226 0.093427808 0.886344008
1.220367230 0.256405404 0.248781117 0.785863761 0.104828867 0.094531546 0.889258233
1.260313905 0.251741918 0.249175659 0.793635029 0.105064729 0.095656788 0.892172459
1.300260579 0.247078432 0.249570202 0.801406298 0.105300811 0.096803532 0.895086685
1.340207254 0.242414946 0.249964745 0.809177566 0.105537114 0.097971781 0.898000911
